archivo,metodo,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_total,tiempo
enkf_25_obs_10_freq_70_var_p.pkl,enkf,10,70,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.009403705596923828
nudging_25_obs_20_freq_70_var_t.pkl,nudging,20,70,t,0.06750266781192071,0.04037855691873725,0.2637284576213507,0.12386989411733623,0.0010437965393066406
nudging_25_obs_10_freq_70_var_st.pkl,nudging,10,70,st,0.07036211382526183,0.04037855691873725,0.26372846419594975,0.12482304497998294,0.0013790130615234375
4dvar_25_obs_5_freq_300_var_ps.pkl,4dvar,5,300,ps,0.06700431314291667,0.04037855691873725,0.2637284576213507,0.12370377589433489,29.557905673980713
kf_25_obs_10_freq_150_var_pt.pkl,kf,10,150,pt,0.08638105531874518,0.04037905828159953,0.26372845680913803,0.13016285680316092,0.008364200592041016
enkf_25_obs_5_freq_150_var_p.pkl,enkf,5,150,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.011587142944335938
4dvar_25_obs_5_freq_70_var_pst.pkl,4dvar,5,70,pst,0.06791649929528272,0.04037855691873725,0.2637284576213507,0.12400783794512356,21.944859743118286
4dvar_25_obs_5_freq_150_var_st.pkl,4dvar,5,150,st,0.0720988352693205,0.04037855691873725,0.2637284576213507,0.1254019499364695,22.738415956497192
4dvar_25_obs_20_freq_300_var_p.pkl,4dvar,20,300,p,0.06291754838562823,0.04037855691873725,0.2637284576213507,0.12234152097523872,21.925314903259277
4dvar_25_obs_5_freq_300_var_p.pkl,4dvar,5,300,p,0.06697769522875617,0.04037855691873725,0.2637284576213507,0.12369490325628137,21.880314111709595
kf_25_obs_20_freq_300_var_ps.pkl,kf,20,300,ps,0.08803616517453024,0.040381049423588736,0.2637283566671008,0.13071519042173993,5.567648887634277
kf_25_obs_20_freq_300_var_s.pkl,kf,20,300,s,0.08803777548099485,0.04037855691873725,0.26372845765351227,0.13071493001774812,0.6378703117370605
4dvar_25_obs_5_freq_70_var_s.pkl,4dvar,5,70,s,0.06791649929528272,0.04037855691873725,0.2637284576213507,0.12400783794512356,23.720197200775146
nudging_25_obs_5_freq_150_var_p.pkl,nudging,5,150,p,0.08800643186872639,0.040547717110991845,0.2637279402408001,0.13076069640683943,0.001583099365234375
kf_25_obs_10_freq_150_var_p.pkl,kf,10,150,p,0.08803740851953963,0.04037905828159953,0.26372845680913803,0.13071497453675907,0.006270170211791992
4dvar_25_obs_10_freq_70_var_p.pkl,4dvar,10,70,p,0.07134225125775984,0.04037855691873725,0.2637284576213507,0.12514975526594926,21.84039807319641
kf_25_obs_5_freq_70_var_ps.pkl,kf,5,70,ps,0.08803773105101641,0.04037863704597091,0.2637284570142355,0.13071494170374093,0.0045850276947021484
kf_25_obs_20_freq_150_var_pt.pkl,kf,20,150,pt,0.0852691942757153,0.04037980675504722,0.26372840676396864,0.1297924692649104,0.044515371322631836
4dvar_25_obs_10_freq_150_var_s.pkl,4dvar,10,150,s,0.07134737599190225,0.04037855691873725,0.2637284576213507,0.1251514635106634,25.88415265083313
kf_25_obs_10_freq_150_var_pst.pkl,kf,10,150,pst,0.08638105531874518,0.04037905828159953,0.263728456821458,0.13016285680726758,0.011310577392578125
4dvar_25_obs_20_freq_70_var_t.pkl,4dvar,20,70,t,0.0692552842029607,0.04037855691873725,0.2637284576213507,0.12445409958101622,21.75805687904358
nudging_25_obs_10_freq_70_var_pt.pkl,nudging,10,70,pt,0.07033786081711593,0.04060725005498021,0.26372855850254867,0.1248912231248816,0.0019414424896240234
kf_25_obs_10_freq_300_var_ps.pkl,kf,10,300,ps,0.08803704766786324,0.04037955742119275,0.2637284562488474,0.1307150204459678,0.01565718650817871
enkf_25_obs_20_freq_300_var_t.pkl,enkf,20,300,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.0425722599029541
4dvar_25_obs_20_freq_150_var_pst.pkl,4dvar,20,150,pst,0.06905558819187603,0.04037855691873725,0.2637284576213507,0.124387534243988,22.012815952301025
kf_25_obs_10_freq_150_var_st.pkl,kf,10,150,st,0.08638142626031596,0.04037855691873725,0.26372845763367064,0.13016281360424128,0.008696794509887695
kf_25_obs_10_freq_70_var_pst.pkl,kf,10,70,pst,0.08725509102574171,0.040378790054424844,0.2637284572077835,0.13045411276265,0.006251811981201172
4dvar_25_obs_5_freq_150_var_pt.pkl,4dvar,5,150,pt,0.0720988352693205,0.04037855691873725,0.2637284576213507,0.1254019499364695,937.9602389335632
nudging_25_obs_20_freq_300_var_pst.pkl,nudging,20,300,pst,0.06774890185220564,0.04239052291396782,0.2636737044656632,0.12460437641061221,0.009203672409057617
enkf_25_obs_5_freq_300_var_p.pkl,enkf,5,300,p,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.020831584930419922
nudging_25_obs_5_freq_300_var_p.pkl,nudging,5,300,p,0.0880874179140868,0.040703357932083344,0.26372881078112553,0.13083986220909857,0.002656221389770508
kf_25_obs_20_freq_150_var_s.pkl,kf,20,150,s,0.08803777548099485,0.04037855691873725,0.26372845764290465,0.13071493001421225,0.02059769630432129
4dvar_25_obs_5_freq_150_var_p.pkl,4dvar,5,150,p,0.0720988352693205,0.04037855691873725,0.2637284576213507,0.1254019499364695,21.80403971672058
4dvar_25_obs_20_freq_150_var_p.pkl,4dvar,20,150,p,0.06905558819187603,0.04037855691873725,0.2637284576213507,0.124387534243988,21.926907539367676
kf_25_obs_10_freq_150_var_s.pkl,kf,10,150,s,0.08803777548099485,0.04037855691873725,0.26372845763367064,0.13071493001113424,0.008738517761230469
4dvar_25_obs_10_freq_70_var_s.pkl,4dvar,10,70,s,0.07134225125775984,0.04037855691873725,0.2637284576213507,0.12514975526594926,26.231877326965332
nudging_25_obs_10_freq_300_var_st.pkl,nudging,10,300,st,0.07078694456108352,0.04037855691873725,0.26372847329372484,0.12496465825784853,0.005007505416870117
4dvar_25_obs_10_freq_150_var_p.pkl,4dvar,10,150,p,0.07134737599190225,0.04037855691873725,0.2637284576213507,0.1251514635106634,21.793935537338257
enkf_25_obs_20_freq_150_var_pst.pkl,enkf,20,150,pst,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.06670594215393066
nudging_25_obs_20_freq_300_var_pt.pkl,nudging,20,300,pt,0.06774890185220564,0.04239052291396782,0.26367367228634825,0.12460436568417389,0.006726741790771484
enkf_25_obs_10_freq_300_var_t.pkl,enkf,10,300,t,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.026559114456176758
kf_25_obs_5_freq_150_var_pt.pkl,kf,5,150,pt,0.08766390166282181,0.040378728975528806,0.2637284563125497,0.13059036231696677,0.008254051208496094
enkf_25_obs_5_freq_300_var_s.pkl,enkf,5,300,s,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.016951322555541992
nudging_25_obs_20_freq_70_var_pt.pkl,nudging,20,70,pt,0.06743633579624783,0.04093501748719383,0.263707787715578,0.12402638033300656,0.0018157958984375
enkf_25_obs_5_freq_300_var_pt.pkl,enkf,5,300,pt,0.08803777548099485,0.04037855691873719,0.2637284576213507,0.13071493000702758,0.0329587459564209
nudging_25_obs_5_freq_300_var_s.pkl,nudging,5,300,s,0.08803777548099485,0.04037855691873725,0.2637284668772169,0.13071493309231633,0.0026171207427978516
kf_25_obs_20_freq_150_var_p.pkl,kf,20,150,p,0.08803696322607192,0.04037980675504722,0.26372840676396864,0.13071505891502924,0.046578168869018555
4dvar_25_obs_5_freq_150_var_s.pkl,4dvar,5,150,s,0.0720988352693205,0.04037855691873725,0.2637284576213507,0.1254019499364695,21.898300409317017
nudging_25_obs_10_freq_150_var_ps.pkl,nudging,10,150,ps,0.08782431134948619,0.04085615075061203,0.26372999120318297,0.13080348443442705,0.004832029342651367
