archivo,metodo,res,n_sensores,frecuencia,variables,rmse_T,rmse_p,rmse_tau,rmse_u,rmse_v,rmse_total_normalizado,tiempo
kf_25_obs_5_freq_300_var_p.pkl,kf,25,5,300,p,0.09016808525472539,520.6672713338289,2.7331932029866537,0.5529964968068385,0.0881823106815711,278.49017805519054,0.0074574947357177734
4dvar_25_obs_20_freq_150_var_st.pkl,4dvar,25,20,150,st,0.08898831132751985,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.628383677578,29.371016263961792
4dvar_25_obs_20_freq_70_var_pst.pkl,4dvar,25,20,70,pst,0.08896248339416986,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6283120228898,28.788790225982666
nudging_25_obs_20_freq_300_var_t.pkl,nudging,25,20,300,t,0.08920124210532654,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.6289744135181,0.004225969314575195
enkf_25_obs_10_freq_70_var_pt.pkl,enkf,25,10,70,pt,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.01769542694091797
4dvar_25_obs_10_freq_150_var_pt.pkl,4dvar,25,10,150,pt,0.08967425093493903,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63028668654187,30.653241634368896
enkf_25_obs_10_freq_300_var_pst.pkl,enkf,25,10,300,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.07614016532897949
nudging_25_obs_5_freq_150_var_st.pkl,nudging,25,5,150,st,0.09028676909827486,522.1458244278508,2.723935741562722,0.563941853357432,0.06406634283392976,278.6319860050607,0.0026693344116210938
kf_25_obs_20_freq_70_var_st.pkl,kf,25,20,70,st,0.08884496818306521,522.1458244278508,2.723935753675973,0.563941853357432,0.06406634283392976,278.62798641257615,0.027231454849243164
nudging_25_obs_5_freq_70_var_pst.pkl,nudging,25,5,70,pst,0.09024706169340826,522.0950197885602,2.72418304471801,0.5634711473497294,0.06396575261111634,278.6216845010007,0.0017826557159423828
enkf_25_obs_10_freq_150_var_pst.pkl,enkf,25,10,150,pst,0.09039612290839541,522.1458244278508,2.7239357414626713,0.563941853357432,0.06406634283392976,278.63228938302035,0.03909635543823242
